fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2022,550000.0,2022,5,KA50,999,22.0,Others,5,bangalore,1
Diesel,SUV,53645,Manual,1,Tata,Tata Nexon,2018,825000.0,2018,5,KA05,1497,21.5,White,6,bangalore,5
Petrol,Hatchback,100000,Manual,2,Hyundai,Hyundai Getz,2006,220000.00000000003,2006,5,KA03,1341,15.3,Others,5,bangalore,17
Petrol,Hatchback,53982,Automatic,1,Maruti,Maruti Celerio,2014,428000.0,2014,5,KA03,998,26.68,Others,5,bangalore,9
Diesel,Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,695000.0,2014,5,KA03,1498,21.14,Black,5,bangalore,9
Petrol,SUV,37741,Manual,2,Ford,Ford Ecosport,2019,930000.0000000001,2019,5,KA01,1496,15.9,White,5,bangalore,4
Petrol,Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,455000.0,2021,5,KA02,796,22.05,Silver,5,bangalore,2
Diesel,SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,1195000.0,2017,5,KA05,1582,19.67,Grey,6,bangalore,6
Diesel,SUV,33700,Automatic,1,Tata,Tata Harrier,2021,2175000.0,2021,5,KA04,1956,14.6,Grey,6,bangalore,2
Petrol,Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,442000.0,2014,5,KA53,1197,22.38,White,5,bangalore,9
Diesel,Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,690000.0,2018,5,KA41,1248,28.4,Others,5,bangalore,5
Petrol,Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,500000.0,2017,5,KA04,998,23.1,Red,5,bangalore,6
Diesel,Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,3395000.0000000005,2016,5,KA66,1995,21.76,White,8,bangalore,7
Diesel,Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,650000.0,2015,5,,1248,26.21,White,5,bangalore,8
Petrol,Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,537000.0,2016,5,KA03,1199,19.0,White,5,bangalore,7
Diesel,MUV,70000,Manual,1,Renault,Renault Lodgy,2016,750000.0,2016,7,,1461,19.98,White,6,bangalore,7
Petrol,Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,1789999.9999999998,2018,5,KA20,1798,15.1,White,7,bangalore,5
Petrol,Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,468000.0,2018,5,KA53,1199,23.84,Orange,5,bangalore,5
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,420000.0,2014,5,KA03,1197,18.5,Silver,5,bangalore,9
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,420000.0,2014,5,KA03,1197,18.5,Silver,5,bangalore,9
Petrol,Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,919999.9999999999,2021,5,KA51,998,20.0,Others,6,bangalore,2
Petrol,Sedan,49873,Manual,1,Honda,Honda City,2013,533000.0,2013,5,KA05,1497,16.8,Yellow,5,bangalore,10
Petrol,Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,850000.0,2013,5,KA03,1197,17.2,Others,7,bangalore,10
Diesel,Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,751000.0,2017,5,KA52,1498,21.13,Silver,5,bangalore,6
Diesel,Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,388000.0,2014,5,KA04,1120,24.0,Others,5,bangalore,9
Petrol,Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,490000.00000000006,2013,5,KA51,1197,18.5,Silver,5,bangalore,10
Diesel,SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,494000.00000000006,2016,6,KA04,1198,25.32,Orange,5,bangalore,7
Diesel,Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,525000.0,2014,5,KA03,1396,21.27,Brown,6,bangalore,9
Diesel,SUV,92000,Automatic,2,BMW,BMW X3,2016,2890000.0,2016,5,KA51,1995,16.55,White,8,bangalore,7
Petrol,Hatchback,62139,Manual,1,Maruti,Maruti Wagon R,2018,550000.0,2018,5,KA53,998,20.51,Red,5,bangalore,5
Lpg,Hatchback,74000,Manual,1,Hyundai,Hyundai i10,2013,365000.0,2013,5,KA04,1086,19.2,Grey,5,bangalore,10
Petrol,Hatchback,26500,Automatic,2,Renault,Renault KWID,2016,420000.0,2016,5,KA53,999,24.04,Red,5,bangalore,7
Diesel,Sedan,81716,Automatic,1,Volvo,Volvo S60,2017,1895000.0,2017,5,KA01,1969,27.03,Silver,8,bangalore,6
Diesel,Sedan,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000.0,2018,5,KA03,2987,17.0,White,9,bangalore,5
Petrol,SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,1050000.0,2022,5,KA03,1197,17.0,White,6,bangalore,1
Petrol,SUV,18000,Automatic,1,MG,MG Hector Plus,2021,2075000.0,2021,6,KA51,1451,16.56,Black,6,bangalore,2
Petrol,Hatchback,38197,Manual,1,Honda,Honda Brio,2013,394000.0,2013,5,KA03,1198,19.4,Others,5,bangalore,10
Petrol,Hatchback,23000,Automatic,2,Maruti,Maruti Baleno,2017,725000.0,2017,5,KA51,1197,19.56,Grey,4,bangalore,6
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2013,240000.0,2013,5,KA02,998,20.92,Red,5,bangalore,10
